Gene,Rep1,Rep2,avgatsglevel,FPKM cellexpress,LOG(FPKM+0.01),Curve
FBgn0004587,-33.255,-19.805,-39.685,212.4815,2.32734156225961,1
FBgn0023170,-31.508,-21.081,-34.982,3261.38,3.5134027352428,1
FBgn0037207,-23.381,-24.138,-31.378,72.2624,1.85897247687727,1
FBgn0262736,-23.388,-26.369,-31.056,968,2.98587984379846,1
FBgn0010408,-23.799,-23.974,-30.496,4613.6,3.66404087973718,1
FBgn0014020,-22.439,-31.283,-29.944,416.4145,2.61953627295616,1
FBgn0036734,-24.569,-17.276,-28.756,42.99435,1.63351238779924,1
FBgn0027054,-20.864,-24.076,-27.296,40.80255,1.61079373067944,1
FBgn0250837,-19.976,-26.713,-26.85,273.453,2.43689857387656,1
FBgn0003559,-19.544,-23.903,-26.823,32.74355,1.51525837797228,1
FBgn0003360,-13.892,-31.051,-26.023,588.533,2.76977819866714,1
FBgn0267378,-19.327,-13.649,-25.298,119.5,2.0774042463981,1
FBgn0259785,-16.77,-18.817,-22.597,50.1315,1.70019732188344,1
FBgn0038893,-16.5,-16.354,-21.484,37.8876,1.57861170759974,1
FBgn0002626,-14.823,-22.527,-21.41,5077.9,3.70568499924551,1
FBgn0266599,-18.314,-12.341,-21.316,2648.5,3.4230016170438,1
FBgn0035422,-14.861,-21.016,-20.912,2414.55,3.38283800176169,1
FBgn0261599,-15.601,-17.67,-20.199,532.5,2.72632776779911,1
FBgn0000541,-16.402,-16.916,-20.19,16.6091,1.22060750105958,1
FBgn0010078,-15.161,-19.131,-20.181,5594.6,3.74776981727163,1
FBgn0052423,-16.993,-17.567,-20,68.99565,1.8388846510759,1
FBgn0042092,-16.289,-15.686,-19.628,15.9426,1.2028314757086,1
FBgn0035423,-19.091,-12.088,-19.51,369.13,2.56719110788338,1
FBgn0039830,-15.462,-14.049,-19.328,614.084,2.7882348541325,1
FBgn0020910,-13.245,-23.703,-19.296,2586.64,3.41273766824032,1
FBgn0261270,-14.435,-19.599,-19.262,131.579,2.11921958655021,1
FBgn0033889,-20.004,-15.151,-19.184,53.2782,1.72663105063554,1
FBgn0003321,-17.014,-13.187,-19.13,18.77985,1.27392331312701,1
FBgn0020496,-15.86,-11.605,-18.861,181.7807,2.2595716619333,1
FBgn0023167,-15.454,-15.997,-18.627,110.2161,2.04228444155639,1
FBgn0262115,-14.993,-10.747,-18.589,22.5,1.35237549500052,1
FBgn0250732,-13.155,-20.381,-18.585,22.2239,1.34701564803063,1
FBgn0265297,-14.186,-11.87,-18.566,868.5,2.9387748232665,1
FBgn0087035,-14.424,-17.228,-18.557,145.397,2.16258531428228,1
FBgn0039635,-8.6858,-20.932,-18.518,130.752,2.11648155447732,1
FBgn0031145,-14.288,-17.851,-18.349,87.27835,1.94095628415991,1
FBgn0262817,-16.269,-15.516,-18.312,17.5,1.24328614608345,1
FBgn0034299,-15.298,-17.127,-18.102,25.693,1.40998381622654,1
FBgn0003392,-13.702,-13.02,-18.048,40.8166,1.61094321380197,1
FBgn0040907,-15.425,-14.798,-18.027,24.1678,1.38341678075436,1
FBgn0025615,-15.56,-13.166,-17.755,63.1507,1.80044693457965,1
FBgn0034246,-16.613,-12.838,-17.73,24.3531,1.38673254780471,1
FBgn0033548,-15.111,-13.319,-17.518,48.16305,1.68280414384893,1
FBgn0040020,-14.704,-14.858,-17.473,9.919335,0.99692016334922,1
FBgn0029629,-15.393,-14.534,-17.434,430.1155,2.63359519047552,1
FBgn0013750,-12.736,-17.099,-17.246,126.55975,2.10232992228589,1
FBgn0003517,-11.751,-15.62,-17.153,5880.07,3.7693832348044,1
FBgn0052000,-13.017,-13.431,-17.117,19.6173,1.29286056064175,1
FBgn0036335,-11.988,-14.913,-17.035,21.93405,1.34131678414712,1
FBgn0052133,-13.916,-12.781,-17.01,8.936785,0.951667000947243,1
FBgn0033844,-14.43,-10.51,-16.815,119.809,2.0785256906817,1
FBgn0003887,-12.732,-18.286,-16.803,1612.7885,3.20758011084552,1
FBgn0261597,-15.693,-9.2956,-16.677,498,2.69723806344489,1
FBgn0086687,-15.186,-10.488,-16.661,335.687,2.5259474601361,1
FBgn0035608,-13.749,-13.686,-16.659,83.4192885,1.92131853985805,1
FBgn0016700,-14.538,-6.0816,-16.608,124.2455,2.09431562128292,1
FBgn0250843,-12.234,-14.588,-16.6,225.7035,2.35355753515295,1
FBgn0003118,-12.717,-12.543,-16.498,105.3895,2.02283855065114,1
FBgn0016041,-15.225,-10.029,-16.378,54.9753,1.74024659890901,1
FBgn0250903,-10.961,-17.197,-16.352,35.8927,1.5551271101663,1
FBgn0261976,-15.213,-12.389,-16.313,8,0.903632516084238,1
FBgn0011638,-12.276,-15.391,-16.272,253.59,2.40414924920969,1
FBgn0250753,-12.166,-11.974,-16.215,216.097,2.33466883450072,1
FBgn0028662,-13.681,-14.516,-16.187,152.5045,2.18331113529348,1
FBgn0034743,-12.462,-15.18,-16.143,3347.51,3.52472318041554,1
FBgn0022942,-11.159,-13.063,-16.059,34.24735,1.5347537647915,1
FBgn0013749,-13.01,-11.259,-16.047,62.9602,1.79913507266936,1
FBgn0026418,-13.716,-8.1602,-16.033,195.5605,2.29130334608844,1
FBgn0032482,-12.531,-16.19,-16.001,126.08,2.1006806447251,1
FBgn0266580,-14.859,-11.193,-15.953,55,1.74044164494977,1
FBgn0011207,-12.792,-14.759,-15.822,30.294,1.48149995732318,1
FBgn0263979,-14.223,-13.375,-15.784,96.5,1.98457231562163,1
FBgn0032195,-9.1928,-16.125,-15.571,11.346455,1.05524278434965,1
FBgn0003507,-12.362,-13.015,-15.494,62.67235,1.79714527007002,1
FBgn0039969,-14.965,-12.321,-15.451,66.5789,1.82340184072411,1
FBgn0034138,-10.801,-13.814,-15.338,2867.54,3.45751099920967,1
FBgn0031980,-12.438,-10.668,-15.297,3374.675,3.52823324112369,1
FBgn0029714,-10.929,-14.757,-15.277,24.94835,1.39721587069062,1
FBgn0027786,-14.807,-10.02,-15.214,65.12455,1.81381141704822,1
FBgn0010612,-15.539,-7.2722,-15.083,225.884,2.35390469572117,1
FBgn0010411,-10.371,-12.133,-15.033,4427.505,3.64616004121303,1
FBgn0029868,-10.851,-17.474,-15.032,100.49785,2.00219998293605,1
FBgn0027091,-11.203,-16.579,-14.948,53.4551,1.7280703834556,1
FBgn0260936,-12.83,-9.9985,-14.922,41.5215,1.6183776168782,1
FBgn0031977,-11.542,-8.8809,-14.84,207.93,2.31793803963606,1
FBgn0000409,-12.107,-11.813,-14.749,335.5745,2.52580189339645,1
FBgn0001233,-10.724,-16.746,-14.733,1126.795,3.05184876542377,1
FBgn0028697,-9.5799,-15.812,-14.654,1529.313,3.18449922007748,1
FBgn0000239,-12.079,-12.524,-14.625,45.49875,1.65809490679715,1
FBgn0025832,-10.421,-14.037,-14.61,30.6883,1.48711432593121,1
FBgn0001218,-8.5711,-18.189,-14.539,555.432,2.74463871603108,1
FBgn0037025,-10.96,-13.087,-14.455,5.640555,0.75209110650968,1
FBgn0026250,-11.978,-11.041,-14.381,240.364,2.38088749050546,1
FBgn0022288,-13.409,-12.03,-14.375,59.3034,1.77315281964818,1
FBgn0004638,-9.8518,-18.291,-14.141,36.00555,1.5564900513532,1
FBgn0004656,-7.3083,-15.472,-14.128,48.5319,1.68611677124121,1
FBgn0005593,-10.51,-13.169,-14.122,4055.26,3.60801977484963,1
FBgn0052344,-12.72,-10.243,-14.122,29.9393,1.47638667615137,1
FBgn0040007,-9.2343,-15.636,-14.101,1239.505,3.09325178675355,1
FBgn0011704,-8.3669,-15.058,-14.073,112.09455,2.04962323971175,1
FBgn0004907,-12.384,-9.5377,-14.055,418.093,2.62128328373977,1
FBgn0026090,-11.811,-11.391,-14.029,53.39675,1.72759615033365,1
FBgn0024188,-12.042,-11.983,-13.914,42.5244,1.62874031092658,1
FBgn0030049,-10.086,-9.8806,-13.872,30.5026,1.48447921575591,1
FBgn0039120,-9.3889,-14.357,-13.832,38.9398,1.59050523199268,1
FBgn0262954,-11.219,-11.452,-13.737,120,2.07921743574657,1
FBgn0260439,-11.287,-13.767,-13.717,199.948,2.30093878424525,1
FBgn0263396,-12.382,-9.5327,-13.555,349.5,2.54345960606937,1
FBgn0031660,-10.79,-12.338,-13.48,105.33,2.02259331402146,1
FBgn0261885,-12.443,-9.2242,-13.447,34,1.53160663193272,1
FBgn0011284,-11.37,-12.283,-13.444,3262.965,3.51361374635801,1
FBgn0039869,-8.5963,-15.24,-13.435,248.291,2.39497846862266,1
FBgn0002781,-13.368,-14.001,-13.414,204.097,2.30985789942083,1
FBgn0034921,-11.937,-8.6182,-13.362,35.4451,1.54967871462628,1
FBgn0030571,-12.373,-10.437,-13.356,18.30885,1.26289820654087,1
FBgn0086134,-10.366,-12.619,-13.318,202.127,2.30564581586603,1
FBgn0263993,-10.11,-12.194,-13.309,30,1.47726599542485,1
FBgn0010217,-10.954,-12.502,-13.209,528.426,2.72299239650642,1
FBgn0004915,-10.65,-10.534,-13.135,32.53985,1.51254899154254,1
FBgn0035147,-11.432,-12.608,-13.112,602.722,2.78012424946442,1
FBgn0034641,-9.931,-8.8291,-13.106,25.745,1.4108615542166,1
FBgn0022893,-11.515,-11.693,-13.095,626.8735,2.79718683906331,1
FBgn0036135,-10.464,-11.848,-13.019,67.90065,1.83193788729287,1
FBgn0025637,-9.0986,-13.585,-12.949,132.48475,2.12219867003734,1
FBgn0000556,-9.6832,-11.892,-12.942,6273.605,3.7975178633407,1
FBgn0263740,-12.445,-10.354,-12.938,186,2.26953629275597,1
FBgn0032863,-11.421,-11.005,-12.91,24.29805,1.38575012099031,1
FBgn0011672,-10.595,-10.382,-12.893,27.9135,1.44596985289885,1
FBgn0264922,-10.072,-9.6017,-12.891,815.5,2.91142929084311,1
FBgn0024698,-10.741,-11.82,-12.871,19.53875,1.29111899265474,1
FBgn0000139,-10.202,-14.053,-12.851,32.5554,1.51275641697121,1
FBgn0039909,-11.09,-10.444,-12.836,98.8269,1.99491911538234,1
FBgn0261268,-9.1215,-11.752,-12.835,30.9017,1.49012288990049,1
FBgn0004106,-10.239,-11.473,-12.776,34.8591,1.54244073802473,1
FBgn0001078,-11.744,-8.2525,-12.769,15.1067,1.17945699432585,1
FBgn0037657,-11.042,-10.59,-12.737,32.7194,1.51493804383298,1
FBgn0015949,-12.361,-8.9123,-12.701,40.5285,1.60786767494961,1
FBgn0005278,-8.8737,-14.4,-12.644,100.78125,2.00342283129939,1
FBgn0028665,-9.4464,-7.5226,-12.628,98.63995,1.99409686946931,1
FBgn0000259,-8.04,-15.763,-12.527,61.8714,1.79156013058319,1
FBgn0026741,-11.451,-9.8509,-12.507,23.05015,1.36286212793528,1
FBgn0032517,-11.341,-8.5836,-12.477,7.899505,0.898149304926841,1
FBgn0030678,-12.824,-8.9384,-12.476,19.16755,1.28279312371869,1
FBgn0032223,-11.421,-11.628,-12.474,7.60643,0.881751454987178,1
FBgn0016120,-10.098,-11.928,-12.462,312.354,2.49466097558215,1
FBgn0260460,-8.8749,-11.734,-12.415,39.81275,1.60013124736862,1
FBgn0035854,-9.7239,-12.42,-12.365,18.5177,1.26782151002017,1
FBgn0036300,-9.711,-10.591,-12.348,36.2562,1.55950205225843,1
FBgn0038872,-10.42,-12.037,-12.334,22.01195,1.34285577225354,1
FBgn0001297,-8.1921,-14.287,-12.322,141.5635,2.15098196888466,1
FBgn0020497,-8.0069,-12.191,-12.312,58.1932,1.76494686272785,1
FBgn0037121,-10.865,-8.6515,-12.222,44.1912,1.64543405998945,1
FBgn0013347,-7.9846,-10.104,-12.217,80.50095,1.90585495118987,1
FBgn0032915,-8.608,-13.583,-12.155,30.0503,1.47799331050553,1
FBgn0003279,-6.433,-17.141,-12.112,3679.335,3.56577051209626,1
FBgn0030081,-12.028,-9.1812,-12.007,14.03315,1.14746453472942,1
FBgn0066304,-10.792,-9.8837,-12.007,3.996555,0.602771108897235,1
FBgn0033520,-12.975,-9.0509,-11.963,3.6992595,0.569287217657468,1
FBgn0024998,-7.0937,-13.656,-11.891,14.93325,1.17444506224287,1
FBgn0033155,-10.9,-6.4323,-11.849,20.05005,1.30233201117179,1
FBgn0004107,-8.3374,-13.457,-11.803,12.3712,1.09276273903968,1
FBgn0001986,-9.1907,-11.172,-11.762,33.484,1.52496701598396,1
FBgn0030676,-8.4168,-13.144,-11.742,7.222605,0.859294747275373,1
FBgn0261112,-9.7769,-11.502,-11.721,25.2202,1.4019206931871,1
FBgn0037573,-9.5324,-11.668,-11.648,92.21215,1.96483524282648,1
FBgn0031493,-9.9049,-8.8839,-11.645,36.554,1.5630537002703,1
FBgn0029161,-8.4159,-8.5359,-11.593,99.9385,1.99977628072916,1
FBgn0261592,-7.4904,-13.813,-11.563,946.5,2.97612520670116,1
FBgn0030733,-8.9404,-11.635,-11.553,197.5445,2.29568692671759,1
FBgn0029980,-7.9702,-9.9614,-11.53,29.16895,1.46506965981889,1
FBgn0024733,-7.8015,-7.6821,-11.525,2187.385,3.3399272150589,1
FBgn0010382,-8.3857,-8.2693,-11.507,14.49085,1.16139346013084,1
FBgn0032518,-7.6119,-9.5542,-11.494,2975.07,3.47349864841463,1
FBgn0038145,-8.9768,-6.1612,-11.479,239.6875,2.37966350444723,1
FBgn0015024,-7.2398,-14.219,-11.45,65.62755,1.81715236212301,1
FBgn0014869,-9.684,-9.5474,-11.435,93.04135,1.96872267830824,1
FBgn0039348,-9.4221,-11.446,-11.41,44.1483,1.64501234563531,1
FBgn0051710,-10.892,-9.9648,-11.408,5.870395,0.769406499640532,1
FBgn0264357,-7.6559,-14.334,-11.381,13.5,1.13065534902203,1
FBgn0014010,-10.586,-7.6276,-11.334,103.48195,2.01490657001956,1
FBgn0034237,-6.5046,-11.43,-11.333,257.8135,2.41132249973262,1
FBgn0030670,-6.472,-14.34,-11.326,28.3034,1.45199202452499,1
FBgn0000064,-9.7622,-8.6097,-11.319,342.2715,2.53438342655523,1
FBgn0037270,-9.1983,-11.064,-11.309,518.0605,2.71438886336998,1
FBgn0033571,-7.0383,-9.8332,-11.302,79.60055,1.90097062431028,1
FBgn0020510,-7.4354,-10.738,-11.291,38.28755,1.58317099184032,1
FBgn0032988,-9.5743,-10.297,-11.273,34.5407,1.53845685064098,1
FBgn0023510,-9.1664,-7.7611,-11.255,15.0618,1.17816512247954,1
FBgn0029504,-8.9607,-8.6705,-11.254,8.260265,0.917519425658209,1
FBgn0004363,-8.27,-13.258,-11.239,492.9145,2.69278040458275,1
FBgn0003941,-7.9527,-12.596,-11.184,2188.705,3.34018921429269,1
FBgn0020386,-8.9984,-12.751,-11.171,24.15105,1.38311580409219,1
FBgn0015296,-7.2061,-11.747,-11.132,53.2184,1.72614341184973,1
FBgn0086472,-8.8084,-11.07,-11.129,3376.52,3.52847061271948,1
FBgn0027378,-10.609,-3.036,-11.104,25.23665,1.40220375936418,1
FBgn0261283,-11.171,-7.4078,-11.095,301.4715,2.47926066740678,1
FBgn0032354,-7.5413,-13.057,-11.089,9.38546,0.972918047935332,1
FBgn0259203,-8.3372,-9.9628,-11.087,18.16095,1.25937763336046,1
FBgn0264492,-9.8268,-9.2392,-11.085,219,2.34046394518563,1
FBgn0039300,-9.2597,-9.6182,-11.083,1418.275,3.15176350975432,1
FBgn0035271,-10.557,-8.3573,-11.049,33.2532,1.52196402706906,1
FBgn0028336,-7.8056,-12.014,-11.021,123.09965,2.09029209661525,1
FBgn0029665,-8.8692,-10.272,-11.005,23.05895,1.36302782774244,1
FBgn0033060,-9.115,-10.711,-10.99,8.86482,0.948159553411696,1
FBgn0264785,-8.8393,-11.594,-10.988,32.5,1.51201696949613,1
FBgn0021761,-9.3741,-10.219,-10.988,27.93915,1.44636860449711,1
FBgn0030086,-7.4995,-10.181,-10.953,407.961,2.61062929302224,1
FBgn0032248,-8.6381,-8.651,-10.912,19.1041,1.28135385379446,1
FBgn0036398,-8.4841,-7.5913,-10.879,10.35527,1.01558061930811,1
FBgn0015218,-9.6613,-6.4748,-10.866,154.333,2.18848693747661,1
FBgn0036581,-8.5114,-9.4722,-10.844,21.848,1.33961042162556,1
FBgn0283468,-8.7228,-8.8632,-10.833,30,1.47726599542485,1
FBgn0040066,-9.6757,-8.1983,-10.824,51.5841,1.71260004108565,1
FBgn0003942,-7.4467,-12.987,-10.823,2735.47,3.43703354385434,1
