"","Gene","BF","Mageck_Zscore","FPKM","LogFPKM","Curve"
"1","FBgn0014020",72.203,-29.944,416.4145,"2.61953627295616",1
"2","FBgn0001297",23.645,-12.322,141.5635,"2.15098196888466",1
"3","FBgn0004587",21.708,-39.685,212.4815,"2.32734156225961",1
"4","FBgn0023170",21.696,-34.982,3261.38,"3.5134027352428",1
"5","FBgn0003360",19.536,-26.023,588.533,"2.76977819866714",1
"6","FBgn0267378",18.831,-25.298,119.5,"2.0774042463981",1
"7","FBgn0003507",18.63,-15.494,62.67235,"1.79714527007002",1
"8","FBgn0003321",18.244,-19.13,18.77985,"1.27392331312701",1
"9","FBgn0039830",18.012,-19.328,614.084,"2.7882348541325",1
"10","FBgn0250753",17.961,-16.215,216.097,"2.33466883450072",1
"11","FBgn0003118",17.92,-16.498,105.3895,"2.02283855065114",1
"12","FBgn0027054",17.822,-27.296,40.80255,"1.61079373067944",1
"13","FBgn0010408",17.239,-30.496,4613.6,"3.66404087973718",1
"14","FBgn0011284",16.846,-13.444,3262.965,"3.51361374635801",1
"15","FBgn0266580",16.641,-15.953,55,"1.74044164494977",1
"16","FBgn0025615",16.568,-17.755,63.1507,"1.80044693457965",1
"17","FBgn0020496",16.391,-18.861,181.7807,"2.2595716619333",1
"18","FBgn0003559",16.244,-26.823,32.74355,"1.51525837797228",1
"19","FBgn0262736",16.058,-31.056,968,"2.98587984379846",1
"20","FBgn0002626",16.036,-21.41,5077.9,"3.70568499924551",1
"21","FBgn0027786",15.613,-15.214,65.12455,"1.81381141704822",1
"22","FBgn0003392",15.069,-18.048,40.8166,"1.61094321380197",1
"23","FBgn0028331",15.029,-10.079,126.3935,"2.10175909933911",1
"24","FBgn0266599",14.835,-21.316,2648.5,"3.4230016170438",1
"25","FBgn0029504",14.715,-11.254,8.260265,"0.917519425658209",1
"26","FBgn0250732",14.701,-18.585,22.2239,"1.34701564803063",1
"27","FBgn0020510",14.577,-11.291,38.28755,"1.58317099184032",1
"28","FBgn0052423",14.462,-20,68.99565,"1.8388846510759",1
"29","FBgn0263979",14.422,-15.784,96.5,"1.98457231562163",1
"30","FBgn0011672",14.416,-12.893,27.9135,"1.44596985289885",1
"31","FBgn0262115",14.389,-18.589,22.5,"1.35237549500052",1
"32","FBgn0005593",14.34,-14.122,4055.26,"3.60801977484963",1
"33","FBgn0000581",14.271,-10.202,18.74695,"1.27316222072439",1
"34","FBgn0039635",14.234,-18.518,130.752,"2.11648155447732",1
"35","FBgn0029161",14.121,-11.593,99.9385,"1.99977628072916",1
"36","FBgn0036239",14.084,-10.098,64.25385,"1.80796674025797",1
"37","FBgn0030049",13.77,-13.872,30.5026,"1.48447921575591",1
"38","FBgn0010280",13.686,-9.8415,40.65395,"1.60920956269068",1
"39","FBgn0037207",13.678,-31.378,72.2624,"1.85897247687727",1
"40","FBgn0000541",13.636,-20.19,16.6091,"1.22060750105958",1
"41","FBgn0259785",13.615,-22.597,50.1315,"1.70019732188344",1
"42","FBgn0037344",13.601,-9.7777,22.83845,"1.3588567436059",1
"43","FBgn0016041",13.507,-16.378,54.9753,"1.74024659890901",1
"44","FBgn0261599",13.505,-20.199,532.5,"2.72632776779911",1
"45","FBgn0003165",13.454,-8.3094,60.7457,"1.78358702897686",1
"46","FBgn0033844",13.401,-16.815,119.809,"2.0785256906817",1
"47","FBgn0052000",13.392,-17.117,19.6173,"1.29286056064175",1
"48","FBgn0052133",13.373,-17.01,8.936785,"0.951667000947243",1
"49","FBgn0266410",13.362,-8.7834,35.5,"1.55035067230162",1
"50","FBgn0036804",13.232,-10.19,22.9469,"1.36091324244589",1
"51","FBgn0087035",13.151,-18.557,145.397,"2.16258531428228",1
"52","FBgn0263740",12.932,-12.938,186,"2.26953629275597",1
"53","FBgn0000064",12.897,-11.319,342.2715,"2.53438342655523",1
"54","FBgn0010078",12.678,-20.181,5594.6,"3.74776981727163",1
"55","FBgn0261597",12.609,-16.677,498,"2.69723806344489",1
"56","FBgn0262519",12.578,-8.4585,85.5,"1.9320169064342",1
"57","FBgn0259176",12.538,-9.4071,90.8183,"1.95822118573381",1
"58","FBgn0036300",12.531,-12.348,36.2562,"1.55950205225843",1
"59","FBgn0035422",12.518,-20.912,2414.55,"3.38283800176169",1
"60","FBgn0029897",12.486,-8.416,3822.58,"3.58235771934093",1
"61","FBgn0039120",12.418,-13.832,38.9398,"1.59050523199268",1
"62","FBgn0027951",12.4,-8.5638,31.1843,"1.49407524450883",1
"63","FBgn0011766",12.249,-8.832,64.2489,"1.80793328691704",1
"64","FBgn0014869",12.227,-11.435,93.04135,"1.96872267830824",1
"65","FBgn0052103",12.203,-7.8651,41.8679,"1.62198489551687",1
"66","FBgn0261885",12.193,-13.447,34,"1.53160663193272",1
"67","FBgn0263396",12.154,-13.555,349.5,"2.54345960606937",1
"68","FBgn0015296",12.151,-11.132,53.2184,"1.72614341184973",1
"69","FBgn0026250",12.101,-14.381,240.364,"2.38088749050546",1
"70","FBgn0015949",12.011,-12.701,40.5285,"1.60786767494961",1
"71","FBgn0028665",11.808,-12.628,98.63995,"1.99409686946931",1
"72","FBgn0039622",11.756,-5.7591,7.7096145,"0.887595613198041",1
"73","FBgn0260936",11.741,-14.922,41.5215,"1.6183776168782",1
"74","FBgn0001078",11.665,-12.769,15.1067,"1.17945699432585",1
"75","FBgn0038876",11.547,-10.7,24.5408,"1.39006564839075",1
"76","FBgn0036398",11.518,-10.879,10.35527,"1.01558061930811",1
"77","FBgn0003884",11.468,-5.5013,1407.049,"3.14831230840647",1
"78","FBgn0261593",11.459,-6.9008,1084,"3.03503328859055",1
"79","FBgn0283468",11.397,-10.833,30,"1.47726599542485",1
"80","FBgn0000556",11.379,-12.942,6273.605,"3.7975178633407",1
"81","FBgn0086687",11.374,-16.661,335.687,"2.5259474601361",1
"82","FBgn0020620",11.352,-10.251,49.7402,"1.6967948309857",1
"83","FBgn0036734",11.32,-28.756,42.99435,"1.63351238779924",1
"84","FBgn0035423",11.271,-19.51,369.13,"2.56719110788338",1
"85","FBgn0264492",11.263,-11.085,219,"2.34046394518563",1
"86","FBgn0028968",11.229,-10.423,87.7314,"1.94320455971816",1
"87","FBgn0000100",11.21,-10.101,2318.91,"3.36528576624995",1
"88","FBgn0250837",11.186,-26.85,273.453,"2.43689857387656",1
"89","FBgn0000546",11.173,-6.1305,11.256845,"1.05180231969139",1
"90","FBgn0024238",11.146,-10.599,68.52485,"1.8359114665862",1
"91","FBgn0250903",11.056,-16.352,35.8927,"1.5551271101663",1
"92","FBgn0000575",11.023,-9.3324,26.46105,"1.42277116835695",1
"93","FBgn0033155",10.961,-11.849,20.05005,"1.30233201117179",1
"94","FBgn0028475",10.945,-7.397,29.3023,"1.46704989684576",1
"95","FBgn0003279",10.941,-12.112,3679.335,"3.56577051209626",1
"96","FBgn0265042",10.915,-7.241,9,"0.954724790979063",1
"97","FBgn0029798",10.913,-7.2208,13.0713,"1.11665090566805",1
"98","FBgn0010315",10.9,-9.5295,18.46605,"1.26660912886649",1
"99","FBgn0032482",10.879,-16.001,126.08,"2.1006806447251",1
"100","FBgn0052230",10.845,-10.594,158.3385,"2.19961395375272",1
"101","FBgn0031871",10.801,-6.048,25.72765,"1.41056889071817",1
"102","FBgn0031977",10.782,-14.84,207.93,"2.31793803963606",1
"103","FBgn0040066",10.77,-10.824,51.5841,"1.71260004108565",1
"104","FBgn0028554",10.731,-4.9012,86.0919,"1.93501273508212",1
"105","FBgn0261283",10.717,-11.095,301.4715,"2.47926066740678",1
"106","FBgn0004838",10.673,-9.4928,340.487,"2.53211328984885",1
"107","FBgn0034921",10.671,-13.362,35.4451,"1.54967871462628",1
"108","FBgn0019886",10.659,-5.3203,36.2177,"1.55904076271199",1
"109","FBgn0004066",10.63,-9.7484,232.952,"2.36728508610665",1
"110","FBgn0029714",10.616,-15.277,24.94835,"1.39721587069062",1
"111","FBgn0259214",10.581,-6.7021,48.29215,"1.68396646227025",1
"112","FBgn0010612",10.46,-15.083,225.884,"2.35390469572117",1
"113","FBgn0033889",10.442,-19.184,53.2782,"1.72663105063554",1
"114","FBgn0037551",10.434,-5.6513,53.46595,"1.72815850855152",1
"115","FBgn0036134",10.407,-5.3581,16.32275,"1.21305931451466",1
"116","FBgn0003517",10.375,-17.153,5880.07,"3.7693832348044",1
"117","FBgn0031492",10.352,-5.915,23.46145,"1.37053991991589",1
"118","FBgn0043884",10.273,-4.8667,31.00135,"1.49152067255106",1
"119","FBgn0265974",10.255,-9.2526,8.5,"0.929929560084588",1
"120","FBgn0000043",10.217,-6.4794,925.9265,"2.96658120412771",1
"121","FBgn0036825",10.199,-4.448,4650.615,"3.66751132188163",1
"122","FBgn0011763",10.171,-9.5378,53.9262,"1.73188034558062",1
"123","FBgn0010770",10.151,-8.8855,29.6577,"1.47228387877297",1
"124","FBgn0003117",10.146,-6.1552,65.93831605,"1.81920371057943",1
"125","FBgn0031020",10.093,-1.5439,70.66215,"1.84924830369526",1
"126","FBgn0031980",10.076,-15.297,3374.675,"3.52823324112369",1
"127","FBgn0050499",10.054,-8.0282,75.65085,"1.87887121599765",1
"128","FBgn0032915",10.052,-12.155,30.0503,"1.47799331050553",1
"129","FBgn0040020",10.042,-17.473,9.919335,"0.99692016334922",1
"130","FBgn0042092",10.016,-19.628,15.9426,"1.2028314757086",1
"131","FBgn0005648",10.013,-5.1693,77.1726,"1.88751940427728",1
"132","FBgn0261552",9.902,-7.012,26.5,"1.42340972773309",1
"133","FBgn0250843",9.901,-16.6,225.7035,"2.35355753515295",1
"134","FBgn0038893",9.898,-21.484,37.8876,"1.57861170759974",1
"135","FBgn0033548",9.842,-17.518,48.16305,"1.68280414384893",1
"136","FBgn0033259",9.808,-10.052,22.4921,"1.35222305037153",1
"137","FBgn0037924",9.79,-7.5459,11.48325,"1.06044285353469",1
"138","FBgn0010382",9.787,-11.507,14.49085,"1.16139346013084",1
"139","FBgn0034246",9.787,-17.73,24.3531,"1.38673254780471",1
"140","FBgn0082598",9.757,-7.3838,117.63855,"2.07058657893338",1
"141","FBgn0005632",9.756,-6.4998,39.74915,"1.5994370911615",1
"142","FBgn0034138",9.722,-15.338,2867.54,"3.45751099920967",1
"143","FBgn0043364",9.674,-5.5047,32.67315,"1.51432390715324",1
"144","FBgn0024196",9.663,-7.1135,178.3925,"2.25140093596274",1
"145","FBgn0001086",9.644,-10.586,48.78955,"1.68841581721956",1
"146","FBgn0033636",9.616,-8.5042,37.11455,"1.56966119811783",1
"147","FBgn0020251",9.592,-3.8811,6.67203,"0.824908421138271",1
"148","FBgn0000568",9.566,-7.1966,43.10715,"1.63465004670143",1
"149","FBgn0028697",9.566,-14.654,1529.313,"3.18449922007748",1
"150","FBgn0004907",9.536,-14.055,418.093,"2.62128328373977",1
"151","FBgn0033086",9.534,-10.784,13.318,"1.12476498406271",1
"152","FBgn0034743",9.52,-16.143,3347.51,"3.52472318041554",1
"153","FBgn0033081",9.496,-10.156,81.96845,"1.91369970267516",1
"154","FBgn0040285",9.471,-7.3495,62.6442,"1.79695018906817",1
"155","FBgn0086357",9.468,-7.1429,254.377,"2.40549491368816",1
"156","FBgn0267727",9.465,-5.6134,322,"2.50786935889267",1
"157","FBgn0052344",9.435,-14.122,29.9393,"1.47638667615137",1
"158","FBgn0023167",9.429,-18.627,110.2161,"2.04228444155639",1
"159","FBgn0262739",9.328,-7.8163,42.5,"1.62849110496712",1
"160","FBgn0030670",9.288,-11.326,28.3034,"1.45199202452499",1
"161","FBgn0003449",9.281,-6.4386,55.26775,"1.74255035740393",1
"162","FBgn0262527",9.234,-7.4754,32.5,"1.51201696949613",1
"163","FBgn0027329",9.21,-7.4172,310.8905,"2.49262142048985",1
"164","FBgn0086904",9.192,-8.7142,1387.005,"3.1420811578159",1
"165","FBgn0036684",9.17,-4.3783,13.15555,"1.11943900677484",1
"166","FBgn0262125",9.13,-5.4626,142,"2.15231892742464",1
"167","FBgn0025381",9.124,-7.2284,232.0675,"2.36563303748518",1
"168","FBgn0000239",9.1,-14.625,45.49875,"1.65809490679715",1
"169","FBgn0051992",9.089,-7.6073,48.57585,"1.68650980502985",1
"170","FBgn0029868",9.056,-15.032,100.49785,"2.00219998293605",1
"171","FBgn0039561",9.055,-6.4602,31.48085,"1.4981843832573",1
"172","FBgn0265630",8.995,-6.012,11,"1.04178731897175",1
"173","FBgn0087013",8.989,-7.0342,208.586,"2.31930597621619",1
"174","FBgn0030809",8.975,-7.3867,28.0238,"1.44768197065273",1
"175","FBgn0260222",8.963,-5.972,39.95625,"1.60169340068167",1
"176","FBgn0000139",8.908,-12.851,32.5554,"1.51275641697121",1
"177","FBgn0036135",8.897,-13.019,67.90065,"1.83193788729287",1
"178","FBgn0041781",8.881,-9.1016,49.7612,"1.69697811185304",1
"179","FBgn0015320",8.856,-5.5332,54.3427,"1.7352211227733",1
"180","FBgn0001197",8.817,-6.2019,266.9395,"2.42642911175529",1
"181","FBgn0260960",8.811,-4.6758,51.9847,"1.71595907674897",1
"182","FBgn0010411",8.804,-15.033,4427.505,"3.64616004121303",1
"183","FBgn0028336",8.799,-11.021,123.09965,"2.09029209661525",1
"184","FBgn0259170",8.77,-5.6016,11.670375,"1.06745678608258",1
"185","FBgn0035424",8.721,-5.1995,22.2165,"1.34687107986679",1
"186","FBgn0037202",8.708,-7.8008,24.124,"1.38262930839692",1
"187","FBgn0262716",8.702,-10.57,245,"2.38918381030816",1
"188","FBgn0266557",8.663,-4.3465,11.5,"1.06107532362979",1
"189","FBgn0010812",8.65,-8.5085,20.89275,"1.32020342636269",1
"190","FBgn0015218",8.648,-10.866,154.333,"2.18848693747661",1
"191","FBgn0041191",8.648,-5.28,35.9132,"1.55537501620356",1
"192","FBgn0267795",8.635,-4.0783,150,"2.17612021105608",1
"193","FBgn0014010",8.588,-11.334,103.48195,"2.01490657001956",1
"194","FBgn0024889",8.572,-3.6193,23.2926,"1.36740438036752",1
"195","FBgn0033179",8.568,-4.8188,126.2895,"2.10140163125469",1
"196","FBgn0003261",8.546,-6.5374,382.7725,"2.58295207454064",1
"197","FBgn0023510",8.534,-11.255,15.0618,"1.17816512247954",1
"198","FBgn0026090",8.487,-14.029,53.39675,"1.72759615033365",1
