sgRNA,Gene,REF read count,rep2 read count +45d
Dsg1_gr3,FBgn0260635,899,367
Dsg10_gr3,FBgn0260635,709,168
Dsg100_gr3,FBgn0001297,1353,255
Dsg1000_gr1,FBgn0004507,909,781
Dsg10000_gr3,FBgn0002533,3997,1338
Dsg10001_gr3,FBgn0002533,430,186
Dsg10002_gr3,FBgn0002533,659,220
Dsg10003_gr3,FBgn0002533,2232,820
Dsg10004_gr3,FBgn0002534,1433,456
Dsg10005_gr3,FBgn0002534,1874,671
Dsg10006_gr3,FBgn0002534,2669,984
Dsg10007_gr3,FBgn0002534,1089,360
Dsg10008_gr3,FBgn0002534,1802,304
Dsg10009_gr3,FBgn0002534,2790,811
Dsg1001_gr1,FBgn0004512,428,512
Dsg10010_gr3,FBgn0002535,1890,669
Dsg10011_gr3,FBgn0002535,3479,1108
Dsg10012_gr3,FBgn0002535,1307,429
Dsg10013_gr3,FBgn0002535,1017,422
Dsg10014_gr3,FBgn0002535,1811,572
Dsg10015_gr3,FBgn0002535,2526,837
Dsg10016_gr2,FBgn0002542,927,90
Dsg10017_gr2,FBgn0002542,998,95
Dsg10018_gr2,FBgn0002542,1912,200
Dsg10019_gr2,FBgn0002542,545,44
Dsg1002_gr1,FBgn0004512,1855,1270
Dsg10020_gr2,FBgn0002542,424,135
Dsg10021_gr2,FBgn0002542,1220,199
Dsg10022_gr2,FBgn0002543,1276,245
Dsg10023_gr2,FBgn0002543,944,147
Dsg10024_gr2,FBgn0002543,1230,203
Dsg10025_gr2,FBgn0002543,1633,288
Dsg10026_gr2,FBgn0002543,417,129
Dsg10028_gr3,FBgn0002552,1437,479
Dsg10029_gr3,FBgn0002552,1377,650
Dsg1003_gr1,FBgn0004512,731,559
Dsg10030_gr3,FBgn0002552,801,422
Dsg10031_gr3,FBgn0002552,1358,446
Dsg10032_gr3,FBgn0002552,806,228
Dsg10033_gr3,FBgn0002552,740,243
Dsg10034_gr2,FBgn0002561,444,62
Dsg10035_gr2,FBgn0002561,3265,594
Dsg10036_gr2,FBgn0002561,1037,161
Dsg10037_gr2,FBgn0002561,1079,138
Dsg10039_gr2,FBgn0002561,964,185
Dsg1004_gr1,FBgn0004512,1751,1150
