"","Gene","Rep2","FPKM.cellexpress","LOG.FPKM.0.01.","Curve"
"6","FBgn0014020",-31.283,416.4145,"2.61953627295616",1
"11","FBgn0003360",-31.051,588.533,"2.76977819866714",1
"9","FBgn0250837",-26.713,273.453,"2.43689857387656",1
"4","FBgn0262736",-26.369,968,"2.98587984379846",1
"3","FBgn0037207",-24.138,72.2624,"1.85897247687727",1
"8","FBgn0027054",-24.076,40.80255,"1.61079373067944",1
"5","FBgn0010408",-23.974,4613.6,"3.66404087973718",1
"10","FBgn0003559",-23.903,32.74355,"1.51525837797228",1
"25","FBgn0020910",-23.703,2586.64,"3.41273766824032",1
"15","FBgn0002626",-22.527,5077.9,"3.70568499924551",1
"2","FBgn0023170",-21.081,3261.38,"3.5134027352428",1
"17","FBgn0035422",-21.016,2414.55,"3.38283800176169",1
"35","FBgn0039635",-20.932,130.752,"2.11648155447732",1
"32","FBgn0250732",-20.381,22.2239,"1.34701564803063",1
"1","FBgn0004587",-19.805,212.4815,"2.32734156225961",1
"26","FBgn0261270",-19.599,131.579,"2.11921958655021",1
"20","FBgn0010078",-19.131,5594.6,"3.74776981727163",1
"13","FBgn0259785",-18.817,50.1315,"1.70019732188344",1
"95","FBgn0004638",-18.291,36.00555,"1.5564900513532",1
"52","FBgn0003887",-18.286,1612.7885,"3.20758011084552",1
"91","FBgn0001218",-18.189,555.432,"2.74463871603108",1
"36","FBgn0031145",-17.851,87.27835,"1.94095628415991",1
"18","FBgn0261599",-17.67,532.5,"2.72632776779911",1
"21","FBgn0052423",-17.567,68.99565,"1.8388846510759",1
"82","FBgn0029868",-17.474,100.49785,"2.00219998293605",1
"7","FBgn0036734",-17.276,42.99435,"1.63351238779924",1
"34","FBgn0087035",-17.228,145.397,"2.16258531428228",1
"60","FBgn0250903",-17.197,35.8927,"1.5551271101663",1
"155","FBgn0003279",-17.141,3679.335,"3.56577051209626",1
"38","FBgn0034299",-17.127,25.693,"1.40998381622654",1
"46","FBgn0013750",-17.099,126.55975,"2.10232992228589",1
"19","FBgn0000541",-16.916,16.6091,"1.22060750105958",1
"87","FBgn0001233",-16.746,1126.795,"3.05184876542377",1
"83","FBgn0027091",-16.579,53.4551,"1.7280703834556",1
"14","FBgn0038893",-16.354,37.8876,"1.57861170759974",1
"69","FBgn0032482",-16.19,126.08,"2.1006806447251",1
"73","FBgn0032195",-16.125,11.346455,"1.05524278434965",1
"30","FBgn0023167",-15.997,110.2161,"2.04228444155639",1
"88","FBgn0028697",-15.812,1529.313,"3.18449922007748",1
"140","FBgn0000259",-15.763,61.8714,"1.79156013058319",1
"22","FBgn0042092",-15.686,15.9426,"1.2028314757086",1
"99","FBgn0040007",-15.636,1239.505,"3.09325178675355",1
"47","FBgn0003517",-15.62,5880.07,"3.7693832348044",1
"37","FBgn0262817",-15.516,17.5,"1.24328614608345",1
"96","FBgn0004656",-15.472,48.5319,"1.68611677124121",1
"62","FBgn0011638",-15.391,253.59,"2.40414924920969",1
"112","FBgn0039869",-15.24,248.291,"2.39497846862266",1
"65","FBgn0034743",-15.18,3347.51,"3.52472318041554",1
"27","FBgn0033889",-15.151,53.2782,"1.72663105063554",1
"100","FBgn0011704",-15.058,112.09455,"2.04962323971175",1
"49","FBgn0036335",-14.913,21.93405,"1.34131678414712",1
"44","FBgn0040020",-14.858,9.919335,"0.99692016334922",1
"40","FBgn0040907",-14.798,24.1678,"1.38341678075436",1
"71","FBgn0011207",-14.759,30.294,"1.48149995732318",1
"78","FBgn0029714",-14.757,24.94835,"1.39721587069062",1
"57","FBgn0250843",-14.588,225.7035,"2.35355753515295",1
"45","FBgn0029629",-14.534,430.1155,"2.63359519047552",1
